Year,Quarter,dlm_exp,dlm_real,date,shiller_fwd,shiller_trail
1993,3,0.450886865430642,0.319972395679138,1993-09-01,0.2919600231182229,0.12343346218727591
1993,4,0.381332693788376,0.360611075352312,1993-12-01,0.33497009742356365,0.13686527379711544
1994,1,0.36635905294699,0.374222250138164,1994-03-01,0.35997201253711086,0.13510525426074027
1994,2,0.321757572370927,0.334731722263923,1994-06-01,0.3120842828330548,0.2651857012971379
1994,3,0.267247169360927,0.290718022455765,1994-09-01,0.2524927393694356,0.2919600231182229
1994,4,0.17171307049432,0.136791851160671,1994-12-01,0.10418335248481148,0.33497009742356365
1995,1,0.153794400280712,0.0809937489272428,1995-03-01,0.04475893505059547,0.35997201253711086
1995,2,0.166926389415828,0.0334729453138252,1995-06-01,0.013845043766512521,0.3120842828330548
1995,3,0.163900412364424,0.0244287418816791,1995-09-01,0.02304119914669789,0.2524927393694356
1995,4,0.205129065742933,0.107780395773577,1995-12-01,0.13143113208351398,0.10418335248481148
1996,1,0.191852309646873,0.144862984695947,1996-03-01,0.16732522208631018,0.04475893505059547
1996,2,0.190467920001014,0.191706640210553,1996-06-01,0.14976245944447708,0.013845043766512521
1996,3,0.177954605473834,0.178721962802591,1996-09-01,0.12123386481411647,0.02304119914669789
1996,4,0.15135625179916,0.105998912345414,1996-12-01,0.02524034565031119,0.13143113208351398
1997,1,0.135776495288017,0.11475745624317,1997-03-01,-0.017548708049012873,0.16732522208631018
1997,2,0.10319049512459,0.0145249788176307,1997-06-01,-0.03974366121080397,0.14976245944447708
1997,3,0.124863857089728,0.00605551290115436,1997-09-01,-0.06480102277971378,0.12123386481411647
1997,4,0.148111123254536,0.0174190258510154,1997-12-01,-0.05192952790670624,0.02524034565031119
1998,1,0.115439087341839,-0.0595833435984581,1998-03-01,-0.029776327162916782,-0.017548708049012873
1998,2,0.257838208522784,0.0321074927026261,1998-06-01,0.05126763329361683,-0.03974366121080397
1998,3,0.239142339203337,0.0755598446648498,1998-09-01,0.143328349044908,-0.06480102277971378
1998,4,0.259810021036132,0.189304496635041,1998-12-01,0.2448111093718639,-0.05192952790670624
1999,1,0.306789859994113,0.263950489782794,1999-03-01,0.2833082690891797,-0.029776327162916782
1999,2,0.297483677057728,0.231198439504025,1999-06-01,0.23564431975160005,0.05126763329361683
1999,3,0.264044794995608,0.224472524586045,1999-09-01,0.20013287197939844,0.143328349044908
1999,4,0.159743130005266,0.00393148611610128,1999-12-01,0.03728658478601643,0.2448111093718639
2000,1,0.12886412661553,-0.265471374242622,2000-03-01,-0.11445198525583766,0.2833082690891797
2000,2,0.131602494169842,-0.583699779796285,2000-06-01,-0.3444780032791517,0.23564431975160005
2000,3,0.103451491543924,-0.97475976744844,2000-09-01,-0.6401979023910109,0.20013287197939844
2000,4,0.200405698186465,-1.05983009694483,2000-12-01,-0.705624702071058,0.03728658478601643
2001,1,0.392683204051042,-0.589217664030839,2001-03-01,-0.6095895307789645,-0.11445198525583766
2001,2,0.650116129969852,-0.149749964242456,2001-06-01,-0.31906549744288615,-0.3444780032791517
2001,3,0.968824293381749,0.335829633340076,2001-09-01,0.059314727772125764,-0.6401979023910109
2001,4,1.10806599500353,0.434597371988979,2001-12-01,0.11105508487210658,-0.705624702071058
2002,1,0.908669655136962,0.309731332249066,2002-03-01,0.2050043171402396,-0.6095895307789645
2002,2,0.798306445797785,0.306929388243773,2002-06-01,0.256246978539882,-0.31906549744288615
2002,3,0.635416729742306,0.269384069019891,2002-09-01,0.2502041805816493,0.059314727772125764
2002,4,0.728662003470242,0.626898824542116,2002-12-01,0.5690466599678659,0.11105508487210658
2003,1,0.624246861665406,0.558675345715281,2003-03-01,0.5394361578072564,0.2050043171402396
2003,2,0.502176082733629,0.491891235181069,2003-06-01,0.4856191309707736,0.256246978539882
2003,3,0.454651498189127,0.425027938374281,2003-09-01,0.4037356023155909,0.2502041805816493
2003,4,0.220108203479407,0.157068095531606,2003-12-01,0.18338104184666548,0.5690466599678659
2004,1,0.199628691201891,0.127135650816114,2004-03-01,0.14676080447216,0.5394361578072564
2004,2,0.199659849590132,0.103552361199676,2004-06-01,0.11922653669305028,0.4856191309707736
2004,3,0.190988210993708,0.121091014117344,2004-09-01,0.14028110826031615,0.4037356023155909
2004,4,0.241389990904083,0.191613281533953,2004-12-01,0.17618262681421815,0.18338104184666548
2005,1,0.246678542831975,0.211045643690317,2005-03-01,0.18792412157495697,0.14676080447216
2005,2,0.226784881417591,0.18537023912161,2005-06-01,0.1634116703106825,0.11922653669305028
2005,3,0.230638320304026,0.184141346445642,2005-09-01,0.16723922913423994,0.14028110826031615
2005,4,0.196768419376204,0.154370966075319,2005-12-01,0.15466199524842228,0.17618262681421815
2006,1,0.175379148010193,0.129163677717882,2006-03-01,0.13471756101039212,0.18792412157495697
2006,2,0.187951435260562,0.134878794316958,2006-06-01,0.13104474864687,0.1634116703106825
2006,3,0.159625656544878,0.0815893488527886,2006-09-01,0.0003817522474305335,0.16723922913423994
2006,4,0.152818569388293,-0.0747276977382132,2006-12-01,-0.20834740961289988,0.15466199524842228
2007,1,0.139421281413706,-0.157211363646139,2007-03-01,-0.3198226773191264,0.13471756101039212
2007,2,0.161665463870159,-0.287784960043698,2007-06-01,-0.5026552923558789,0.13104474864687
2007,3,0.179711182876659,-0.47527888157583,2007-09-01,-0.5368178506334647,0.0003817522474305335
2007,4,0.295717620999253,-1.11536078839164,2007-12-01,-1.4923602730885204,-0.20834740961289988
2008,1,0.343198696050227,-1.6092245005547,2008-03-01,-2.1751160865820163,-0.3198226773191264
2008,2,0.462812967071841,-1.64972780342186,2008-06-01,-1.9228188787031328,-0.5026552923558789
2008,3,0.646052780928979,-1.03791737895318,2008-09-01,-1.2986303135969215,-0.5368178506334647
2008,4,1.14310458425494,0.777807623854808,2008-12-01,1.2312191949470042,-1.4923602730885204
2009,1,1.52552661963394,1.5220597810985,2009-03-01,2.1840182225226092,-2.1751160865820163
2009,2,1.69502285976416,1.75014888216598,2009-06-01,2.1899485782015926,-1.9228188787031328
2009,3,1.34886412889502,1.40409297054812,2009-09-01,1.745796246480598,-1.2986303135969215
2009,4,0.376734246942235,0.410926310185614,2009-12-01,0.4171033526671244,1.2312191949470042
2010,1,0.24809147110137,0.264057894454649,2010-03-01,0.2885433459593427,2.1840182225226092
2010,2,0.229451913190579,0.21322666584867,2010-06-01,0.2230839370186839,2.1899485782015926
2010,3,0.183515582903498,0.164796260763862,2010-09-01,0.19095842548412012,1.745796246480598
2010,4,0.174023595213556,0.113322347664113,2010-12-01,0.11699266378121731,0.4171033526671244
2011,1,0.187110880055412,0.0829898004782326,2011-03-01,0.08518541708424898,0.2885433459593427
2011,2,0.203156863470286,0.0533058739238292,2011-06-01,0.04715932909904552,0.2230839370186839
