Year,Quarter,dlm_exp,dlm_real,dlm_pd,date,shiller_fwd,shiller_trail
2010,3,0.0747331180319444,0.120835559987479,3.91615876620606,2010-09-01,0.11922370755662337,-0.06705213787788722
2010,4,0.0376376845986797,0.0959443363695076,3.96929075622971,2010-12-01,0.15081409075174568,0.014178350051616384
2011,1,0.0792532918943461,0.121701105712502,4.00583822671633,2011-03-01,0.15469927634828595,0.06753061569724927
2011,2,0.0807810427467834,0.126947367179965,3.97311457800627,2011-06-01,0.15144718126613776,0.09926210327466745
2011,3,0.0770205360279315,0.138662213199421,3.78671642867256,2011-09-01,0.1613864377959171,0.11922370755662337
2011,4,0.0988391833327138,0.2223474406676,3.87331458273918,2011-12-01,0.16751964756621307,0.15081409075174568
2012,1,0.100339726908513,0.193702652567114,3.94460246403732,2012-03-01,0.1604509792334321,0.15469927634828595
2012,2,0.12510520208911,0.199939361865741,3.8771224319767,2012-06-01,0.16108782120486653,0.15144718126613776
2012,3,0.130387127046318,0.186596875682123,3.8896890092981,2012-09-01,0.1506200979672343,0.1613864377959171
2012,4,0.0709995948274234,0.0499063779188935,3.77676853004194,2012-12-01,0.11304293019718603,0.16751964756621307
2013,1,0.0688411414832144,0.0987078780690438,3.85895534826696,2013-03-01,0.12071999680556322,0.1604509792334321
2013,2,0.0683921245416599,0.0912491907189961,3.84203233460427,2013-06-01,0.11647971199703111,0.16108782120486653
2013,3,0.0631556472328159,0.0914052524490328,3.8576998361683,2013-09-01,0.11234190291630197,0.1506200979672343
2013,4,0.125618484168704,0.157467127635729,3.98615439187078,2013-12-01,0.11971822335483795,0.11304293019718603
2014,1,0.10062470679904,0.1336274336794,3.93687691247425,2014-03-01,0.11903964451072868,0.12071999680556322
2014,2,0.0955484282482808,0.126659744778378,3.94992398239506,2014-06-01,0.11032409962163792,0.11647971199703111
2014,3,0.0827871585144422,0.124130305956751,3.9257738914339,2014-09-01,0.09934087507504419,0.11234190291630197
2014,4,0.0732086054320638,0.114884366261054,3.93656032491045,2014-12-01,0.09544847007582469,0.11971822335483795
2015,1,0.0708066574223554,0.0819562399916745,3.90258922345709,2015-03-01,0.07253148598931514,0.11903964451072868
2015,2,0.0478645452308211,0.0671562633407938,3.87441703946123,2015-06-01,0.06313000688699599,0.11032409962163792
2015,3,0.0465780963192417,0.048262349371488,3.77478908753285,2015-09-01,0.05758959194278157,0.09934087507504419
2015,4,0.0315825044255407,0.0355208379191736,3.81438343548443,2015-12-01,0.05186929808989982,0.09544847007582469
2016,1,0.0494910233137329,0.0433569308443369,3.81668402785554,2016-03-01,0.05540969642035609,0.07253148598931514
2016,2,0.041867504779177,0.0584574305346317,3.82444056234847,2016-06-01,0.06022762312131613,0.06313000688699599
2016,3,0.0369835749743133,0.0714547182840981,3.84811553593224,2016-09-01,0.06740748632864912,0.05758959194278157
2016,4,0.0554159647200381,0.0806250022259847,3.86993675154854,2016-12-01,0.06829240740087306,0.05186929808989982
2017,1,0.0648229855558342,0.0899020967846913,3.91056082609188,2017-03-01,0.07515467360076045,0.05540969642035609
2017,2,0.0585349460644027,0.0798410339138811,3.90976434357579,2017-06-01,0.07681200340969774,0.06022762312131613
2017,3,0.0531143554318452,0.0795222535807398,3.92673613734078,2017-09-01,0.08302447645987021,0.06740748632864912
2017,4,0.0503215486363704,0.0834806575615694,3.96678796564999,2017-12-01,0.09395296170673983,0.06829240740087306
2018,1,0.0661325049351844,0.0858627953572388,3.93195369646602,2018-03-01,0.0942186752389822,0.07515467360076045
2018,2,0.0746882153261623,0.0863914707760038,3.94478018574533,2018-06-01,0.09510111057577841,0.07681200340969774
2018,3,0.072531615770064,0.0825419006405594,3.99272877774299,2018-09-01,0.08914259051996476,0.08302447645987021
2018,4,0.0694112471508772,0.0725377131489209,3.81890467295026,2018-12-01,0.08022873688065824,0.09395296170673983
2019,1,0.05683535787698,0.0638253339395032,3.91681268847451,2019-03-01,0.08108839725450956,0.0942186752389822
2019,2,0.0441651650326849,0.0461269155768074,3.93736428105024,2019-06-01,0.062266310252662826,0.09510111057577841
2019,3,0.0442472192012122,0.0136258219638474,3.9314957782501,2019-09-01,0.028088346084321536,0.08914259051996476
2019,4,0.0510721067628408,-0.00265356027703412,4.00006353891719,2019-12-01,0.0006667786154368471,0.08022873688065824
2020,1,0.0452889433506343,-0.0357224925463289,3.76072403661988,2020-03-01,-0.033228041600717795,0.08108839725450956
2020,2,-0.0135271776805892,-0.0317868938277659,3.94372498846315,2020-06-01,-0.030883516445446624,0.062266310252662826
2020,3,-0.0158173544970222,0.00541848801169031,4.0398746504287,2020-09-01,0.006849601650294801,0.028088346084321536
2020,4,-0.0120182362241197,0.0261751326936297,4.15336669408852,2020-12-01,0.03570219418522136,0.0006667786154368471
2021,1,0.030378388623201,0.0580676701154816,4.22637339665012,2021-03-01,0.0725479463247023,-0.033228041600717795
2021,2,0.0495685904380112,0.0820351555701553,4.30204967248349,2021-06-01,0.101082095091658,-0.030883516445446624
2021,3,0.0603171167550274,0.169369293282389,4.28198970516456,2021-09-01,0.09743088849466819,0.006849601650294801
2021,4,0.0489393035633485,,4.36536350885813,2021-12-01,0.10255649942953493,0.03570219418522136
2022,1,0.0560782584793618,,4.29962438009759,2022-03-01,0.09594119902100573,0.0725479463247023
