date,raw_date,P,D,E,CPI,g_div_trailing,g_earn_trailing,g_div_fwd,g_earn_fwd
1877-11-01,1877.11,3.26,0.1992,0.2983,9.514585124,-0.409473129505703,0.03966331863137884,-0.09691789719242183,0.03588862519256386
1877-12-01,1877.12,3.25,0.19,0.3,9.514585124,-0.45675840249571475,0.06899287148695121,-0.054067221270275745,0.03278982282299103
1878-01-01,1878.01,3.25,0.1892,0.3008,9.229089256,-0.4298310890415864,0.06560291719335787,-0.04044768121565245,0.04866350974585698
1878-02-01,1878.02,3.18,0.1883,0.3017,9.134004959,-0.4028062392192202,0.06292673932854465,-0.026912280817447343,0.06418628807996529
1878-03-01,1878.03,3.24,0.1875,0.3025,8.94367438,-0.3738597686928333,0.059592097202245675,-0.0134230203321406,0.07940677760441073
1878-04-01,1878.04,3.33,0.1867,0.3033,8.848509091,-0.3437910159545867,0.05628604180521135,0.0,0.09432057061915855
1878-05-01,1878.05,3.34,0.1858,0.3042,8.563094215,-0.3134505323756154,0.05368377518083611,0.013365609283368496,0.10890452409255547
1878-06-01,1878.06,3.41,0.185,0.305,8.372844628,-0.2809023854664021,0.050430853626892036,0.02666824708216131,0.1232326404239481
1878-07-01,1878.07,3.48,0.1842,0.3058,8.467928926,-0.24696186428206413,0.04720541662128608,0.039909526230392345,0.13728496700306603
1878-08-01,1878.08,3.45,0.1833,0.3067,8.563094215,-0.21250340266782408,0.04467409513680032,0.05311923136862595,0.15102502124464023
1878-09-01,1878.09,3.52,0.1825,0.3075,8.563094215,-0.17544867750619275,0.04149973090675285,0.06624938554120074,0.16454938704815691
1878-10-01,1878.1,3.48,0.1817,0.3083,8.467928926,-0.13662237286480083,0.038351807595328635,0.07932274999288791,0.17782448855891486
1878-11-01,1878.11,3.47,0.1808,0.3092,8.372844628,-0.09691789719242183,0.03588862519256386,0.09238958756767435,0.19080209712672236
1878-12-01,1878.12,3.45,0.18,0.31,8.18251405,-0.054067221270275745,0.03278982282299103,0.10536051565782634,0.2035989552412395
1879-01-01,1879.01,3.58,0.1817,0.3158,8.277679339,-0.04044768121565245,0.04866350974585698,0.12065300373628252,0.20898424849030828
1879-02-01,1879.02,3.71,0.1833,0.3217,8.372844628,-0.026912280817447343,0.06418628807996529,0.13598337587180942,0.21358605594261781
1879-03-01,1879.03,3.65,0.185,0.3275,8.277679339,-0.0134230203321406,0.07940677760441073,0.15028220304933781,0.2185528776056106
1879-04-01,1879.04,3.77,0.1867,0.3333,8.18251405,0.0,0.09432057061915855,0.16412449580468458,0.22332355311471375
1879-05-01,1879.05,3.94,0.1883,0.3392,8.18251405,0.013365609283368496,0.10890452409255547,0.1780639665413135,0.22737984854163107
1879-06-01,1879.06,3.96,0.19,0.345,8.087381157,0.02666824708216131,0.1232326404239481,0.1910552367627092,0.23180161405732436
1879-07-01,1879.07,4.04,0.1917,0.3508,8.18251405,0.039909526230392345,0.13728496700306603,0.20365386409256003,0.23605865096229905
1879-08-01,1879.08,4.07,0.1933,0.3567,8.18251405,0.05311923136862595,0.15102502124464023,0.21639553712770598,0.2396590655819576
1879-09-01,1879.09,4.22,0.195,0.3625,8.467928926,0.06624938554120074,0.16454938704815691,0.22825865198098017,0.24362208265775043
1879-10-01,1879.1,4.68,0.1967,0.3683,8.94367438,0.07932274999288791,0.17782448855891486,0.23978119246723306,0.24744536683919638
1879-11-01,1879.11,4.93,0.1983,0.3742,9.419419835,0.09238958756767435,0.19080209712672236,0.2514825096326758,0.2506609693810087
1879-12-01,1879.12,4.92,0.2,0.38,9.704834711,0.10536051565782634,0.2035989552412395,0.26236426446749106,0.2542341383842408
1880-01-01,1880.01,5.11,0.205,0.3892,9.990330579,0.12065300373628252,0.20898424849030828,0.25671984684781424,0.22170366625622218
1880-02-01,1880.02,5.2,0.21,0.3983,9.990330579,0.13598337587180942,0.21358605594261781,0.2513144282809061,0.1901160234485766
1880-03-01,1880.03,5.3,0.215,0.4075,10.08541488,0.15028220304933781,0.2185528776056106,0.2461330695389088,0.15852322723986756
1880-04-01,1880.04,5.18,0.22,0.4167,9.704834711,0.16412449580468458,0.22332355311471375,0.24116205681688818,0.12736289848379456
1880-05-01,1880.05,4.77,0.225,0.4258,9.419419835,0.1780639665413135,0.22737984854163107,0.2363887780642302,0.09705936431994133
1880-06-01,1880.06,4.79,0.23,0.435,9.229089256,0.1910552367627092,0.23180161405732436,0.23180161405732425,0.06669137449867224
1880-07-01,1880.07,5.01,0.235,0.4442,9.229089256,0.20365386409256003,0.23605865096229905,0.22738984219566083,0.0366891979213545
1880-08-01,1880.08,5.19,0.24,0.4533,9.229089256,0.21639553712770598,0.2396590655819576,0.2231435513142097,0.007472562244149716
1880-09-01,1880.09,5.18,0.245,0.4625,9.324254545,0.22825865198098017,0.24362208265775043,0.21905356606268467,-0.02185879381249911
1880-10-01,1880.1,5.33,0.25,0.4717,9.324254545,0.23978119246723306,0.24744536683919638,0.2151113796169455,-0.05088053912882229
1880-11-01,1880.11,5.61,0.255,0.4808,9.419419835,0.2514825096326758,0.2506609693810087,0.21130909366720685,-0.07917647176067089
1880-12-01,1880.12,5.84,0.26,0.49,9.514585124,0.26236426446749106,0.2542341383842408,0.2076393647782444,-0.10763066419236544
1881-01-01,1881.01,6.19,0.265,0.4858,9.419419835,0.25671984684781424,0.22170366625622218,0.18859116980754997,-0.10084212637275136
1881-02-01,1881.02,6.17,0.27,0.4817,9.514585124,0.2513144282809061,0.1901160234485766,0.16989903679539742,-0.09441790621141155
1881-03-01,1881.03,6.24,0.275,0.4775,9.514585124,0.2461330695389088,0.15852322723986756,0.15154989812720077,-0.08748745412311576
1881-04-01,1881.04,6.22,0.28,0.4733,9.609669421,0.24116205681688818,0.12736289848379456,0.13353139262452252,-0.08048297642068714
1881-05-01,1881.05,6.5,0.285,0.4692,9.514585124,0.2363887780642302,0.09705936431994133,0.1158318155251219,-0.07384569426880083
1881-06-01,1881.06,6.58,0.29,0.465,9.514585124,0.23180161405732425,0.06669137449867224,0.09844007281325262,-0.06669137449867224
1881-07-01,1881.07,6.35,0.295,0.4608,9.609669421,0.22738984219566083,0.0366891979213545,0.08134563945395246,-0.05945885193749012
1881-08-01,1881.08,6.2,0.3,0.4567,9.8,0.2231435513142097,0.007472562244149716,0.0645385211375713,-0.05259639144508954
1881-09-01,1881.09,6.25,0.305,0.4525,10.18058017,0.21905356606268467,-0.02185879381249911,0.048009219186360585,-0.04520543676804689
1881-10-01,1881.1,6.15,0.31,0.4483,10.27574545,0.2151113796169455,-0.05088053912882229,0.03174869831458027,-0.03773174859996198
1881-11-01,1881.11,6.19,0.315,0.4442,10.18058017,0.21130909366720685,-0.07917647176067089,0.015748356968139143,-0.030630966178093466
1881-12-01,1881.12,6.01,0.32,0.44,10.18058017,0.2076393647782444,-0.10763066419236544,0.0,-0.022989518224698746
1882-01-01,1882.01,5.92,0.32,0.4392,10.18058017,0.18859116980754997,-0.10084212637275136,0.0024968801985871814,-0.027000601818505943
1882-02-01,1882.02,5.79,0.32,0.4383,10.27574545,0.16989903679539742,-0.09441790621141155,0.005298438451208476,-0.030814438500346708
1882-03-01,1882.03,5.78,0.32,0.4375,10.27574545,0.15154989812720077,-0.08748745412311576,0.007782140442055052,-0.03488725900044065
1882-04-01,1882.04,5.78,0.32,0.4367,10.37091074,0.13353139262452252,-0.08048297642068714,0.010259688937615197,-0.0389917492141012
1882-05-01,1882.05,5.71,0.32,0.4358,10.46599504,0.1158318155251219,-0.07384569426880083,0.013039613507803471,-0.04289887821960947
1882-06-01,1882.06,5.68,0.32,0.435,10.56116033,0.09844007281325262,-0.06669137449867224,0.015504186535965303,-0.047067510857985884
1882-07-01,1882.07,6.0,0.32,0.4342,10.46599504,0.08134563945395246,-0.05945885193749012,0.01796270037417247,-0.05126905166945572
1882-08-01,1882.08,6.18,0.32,0.4333,10.56116033,0.0645385211375713,-0.05259639144508954,0.02072132281325212,-0.05527316904751034
1882-09-01,1882.09,6.24,0.32,0.4325,10.27574545,0.048009219186360585,-0.04520543676804689,0.023167059281534508,-0.05954139369101663
1882-10-01,1882.1,6.07,0.32,0.4317,10.18058017,0.03174869831458027,-0.03773174859996198,0.025606828713774732,-0.06384383545489258
1882-11-01,1882.11,5.81,0.32,0.4308,10.08541488,0.015748356968139143,-0.030630966178093466,0.028344473009142446,-0.06794884842361537
1882-12-01,1882.12,5.84,0.32,0.43,9.990330579,0.0,-0.022989518224698746,0.030771658666753687,-0.07232066157962602
1883-01-01,1883.01,5.81,0.3208,0.4275,9.990330579,0.0024968801985871814,-0.027000601818505943,0.02310994851518755,-0.08541775115435168
1883-02-01,1883.02,5.68,0.3217,0.425,10.08541488,0.005298438451208476,-0.030814438500346708,0.015422884362043643,-0.09884583463663266
1883-03-01,1883.03,5.75,0.3225,0.4225,9.990330579,0.007782140442055052,-0.03488725900044065,0.007722046093910251,-0.11261887810814908
1883-04-01,1883.04,5.87,0.3233,0.42,9.895165289,0.010259688937615197,-0.0389917492141012,0.0,-0.12675170563914384
1883-05-01,1883.05,5.77,0.3242,0.4175,9.8,0.013039613507803471,-0.04289887821960947,-0.0077411750565949955,-0.14126006999618057
1883-06-01,1883.06,5.82,0.325,0.415,9.514585124,0.015504186535965303,-0.047067510857985884,-0.015504186535965303,-0.15616073075528247
1883-07-01,1883.07,5.73,0.3258,0.4125,9.324254545,0.01796270037417247,-0.05126905166945572,-0.023289361879897497,-0.1714715407698888
1883-08-01,1883.08,5.47,0.3267,0.41,9.324254545,0.02072132281325212,-0.05527316904751034,-0.031087365062430372,-0.18721154208814617
1883-09-01,1883.09,5.53,0.3275,0.4075,9.229089256,0.023167059281534508,-0.05954139369101663,-0.03891541624967365,-0.2034010725850085
1883-10-01,1883.1,5.38,0.3283,0.405,9.229089256,0.025606828713774732,-0.06384383545489258,-0.04676662654940089,-0.22006188477680166
1883-11-01,1883.11,5.46,0.3292,0.4025,9.134004959,0.028344473009142446,-0.06794884842361537,-0.05462428202962344,-0.23721727852587182
1883-12-01,1883.12,5.34,0.33,0.4,9.229089256,0.030771658666753687,-0.07232066157962602,-0.06252035698133396,-0.2548922496287901
1884-01-01,1884.01,5.18,0.3283,0.3925,9.229089256,0.02310994851518755,-0.08541775115435168,-0.07624244468235442,-0.2466664661022574
1884-02-01,1884.02,5.32,0.3267,0.385,9.229089256,0.015422884362043643,-0.09884583463663266,-0.09094262708632139,-0.23852091959324873
1884-03-01,1884.03,5.3,0.325,0.3775,9.229089256,0.007722046093910251,-0.11261887810814908,-0.10536051565782634,-0.22978809403287848
1884-04-01,1884.04,5.06,0.3233,0.37,9.038839669,0.0,-0.12675170563914384,-0.12014431184206331,-0.22078147834149398
1884-05-01,1884.05,4.65,0.3217,0.3625,8.848509091,-0.0077411750565949955,-0.14126006999618057,-0.13597676209332477,-0.2118284983113241
1884-06-01,1884.06,4.46,0.32,0.355,8.848509091,-0.015504186535965303,-0.15616073075528247,-0.15154989812720077,-0.20223686649489614
1884-07-01,1884.07,4.46,0.3183,0.3475,8.753424793,-0.023289361879897497,-0.1714715407698888,-0.16753973651747445,-0.19232829211552271
1884-08-01,1884.08,4.74,0.3167,0.34,8.753424793,-0.031087365062430372,-0.18721154208814617,-0.1846608870423303,-0.18243921077373648
1884-09-01,1884.09,4.59,0.315,0.3325,8.658259504,-0.03891541624967365,-0.2034010725850085,-0.20155291872184233,-0.17185025692665912
